"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Niacin","Data.Protein","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"Buttermilk","Buttermilk, reduced fat (2%)","11115200","0","3","0","5.3","8","16.0","0.0","0","0","0.1","4.1","16","0.21","2.3","5.3","0.05","87.7","0.576","0.071","1.242","2.0","143","0.008","0.06","13","82","180","105","0.24","16","0.37","0.03","1.5","0.11","0.1"
"Buttermilk","Buttermilk, whole","11115300","0","7","0","4.88","11","14.6","0.0","0","0","0.09","3.21","46","0.172","3.7","4.88","0.047","87.91","0.827","0.198","1.899","3.31","115","0.025","0.03","10","85","135","105","0.38","47","0.46","0.036","0.0","0.07","0.3"
"Kefir","Kefir, NS as to fat content","11115400","0","2","0","7.48","5","15.2","0.0","0","0","0.128","3.59","174","0.172","3.6","6.91","0.03","87.26","0.286","0.047","0.596","0.96","124","0.009","0.04","12","100","159","38","0.45","174","0.3","0.059","0.8","0.04","0.6"
"Goat's milk","Goat's milk, whole","11116000","0","7","0","4.45","11","16.0","0.0","0","0","0.277","3.56","56","0.138","1.4","4.45","0.048","87.03","1.109","0.149","2.667","4.14","134","0.046","0.05","14","111","204","50","0.3","57","0.07","0.046","1.3","0.07","0.3"
"Milk","Milk, dry, reconstituted, NS as to fat content","11120000","0","0","0","4.6","2","15.0","0.0","0","0","0.084","3.2","58","0.137","2.4","4.6","0.037","91.34","0.018","0.003","0.044","0.07","114","0.013","0.03","11","86","159","51","0.37","58","0.36","0.032","0.6","0.0","0.0"
"Milk","Milk, dry, reconstituted, whole","11121100","0","8","0","5.86","15","18.2","0.0","0","0","0.099","4.01","39","0.184","2.5","5.86","0.043","85.04","1.209","0.101","2.554","4.08","142","0.021","0.07","14","118","203","60","0.52","39","0.5","0.046","1.3","0.09","0.3"
"Milk","Milk, dry, reconstituted, low fat (1%)","11121210","0","2","0","4.55","4","15.0","0.0","0","0","0.083","3.17","65","0.136","2.4","4.55","0.036","90.48","0.291","0.038","0.633","1.01","113","0.013","0.03","11","85","157","51","0.37","65","0.35","0.032","0.6","0.03","0.1"
"Milk","Milk, dry, reconstituted, fat free (skim)","11121300","0","0","0","4.6","2","15.0","0.0","0","0","0.084","3.2","1","0.137","2.4","4.6","0.037","91.34","0.018","0.003","0.044","0.07","114","0.013","0.03","11","86","159","51","0.37","1","0.36","0.032","0.6","0.0","0.0"
"Milk","Milk, evaporated, NS as to fat content","11210050","0","12","0","10.04","29","31.8","0.0","0","0","0.194","6.81","64","0.316","2.3","10.04","0.047","74.04","2.335","0.245","4.591","7.56","261","0.016","0.19","24","203","303","106","0.77","65","0.16","0.05","1.9","0.14","0.5"
"Milk","Milk, evaporated, whole","11211050","0","12","0","10.04","29","31.8","0.0","0","0","0.194","6.81","64","0.316","2.3","10.04","0.047","74.04","2.335","0.245","4.591","7.56","261","0.016","0.19","24","203","303","106","0.77","65","0.16","0.05","1.9","0.14","0.5"
"Milk","Milk, evaporated, reduced fat (2%)","11211400","0","3","0","11.15","8","25.1","0.0","0","0","0.171","7.42","130","0.304","2.5","11.15","0.044","78.0","0.569","0.071","1.214","1.96","285","0.016","0.28","27","192","326","113","0.88","131","0.24","0.054","1.2","0.05","0.2"
"Milk","Milk, evaporated, fat free (skim)","11212050","0","0","0","11.35","4","25.2","0.0","0","0","0.174","7.55","118","0.309","2.5","11.35","0.045","79.4","0.062","0.006","0.121","0.2","290","0.016","0.29","27","195","332","115","0.9","118","0.24","0.055","1.2","0.0","0.0"
"Milk","Milk, condensed, sweetened","11220000","0","14","0","54.4","34","89.1","0.0","0","0","0.21","7.91","73","0.416","14.8","54.4","0.09","27.16","2.427","0.337","5.486","8.7","284","0.015","0.19","26","253","371","127","0.94","74","0.44","0.051","2.6","0.16","0.6"
"Non-dairy milk","Non-dairy milk, NFS","11300100","0","1","0","3.75","0","9.0","0.2","0","0","0.171","1.04","77","0.062","0.8","3.03","0.009","93.33","0.485","0.408","0.237","1.17","164","0.062","0.32","8","19","80","60","0.12","77","0.29","0.009","0.0","1.8","0.9"
"Soy milk","Soy milk","11320000","0","2","0","4.92","0","23.6","0.2","0","0","0.425","2.6","55","0.184","2.3","3.65","0.029","90.36","0.382","0.858","0.205","1.47","123","0.165","0.42","15","43","122","47","0.26","55","0.85","0.031","0.0","0.11","3.0"
"Soy milk","Soy milk, light","11320100","0","1","0","3.51","0","12.3","0.3","0","0","0.222","2.38","61","0.201","2.3","2.61","0.037","92.69","0.202","0.426","0.005","0.77","123","0.086","0.43","15","87","117","48","0.23","61","1.0","0.016","0.0","0.06","1.6"
"Soy milk","Soy milk, nonfat","11320200","0","1","0","4.14","0","17.9","0.2","0","0","0.323","2.47","61","0.174","1.8","3.65","0.022","92.67","0.0","0.036","0.0","0.04","116","0.125","0.35","10","87","105","57","0.1","61","0.23","0.024","0.0","0.08","2.3"
"Soy milk","Soy milk, chocolate","11321000","0","2","0","9.95","0","23.6","0.4","0","0","0.513","2.26","70","0.262","4.8","7.86","0.022","85.61","0.379","0.836","0.24","1.53","126","0.206","0.48","15","51","143","53","0.34","70","0.7","0.077","1.7","0.11","3.0"
"Soy milk","Soy milk, light, chocolate","11321100","0","2","0","8.24","0","28.4","0.7","0","0","0.512","2.1","61","0.201","1.7","7.13","0.037","88.38","0.037","0.405","0.032","0.64","123","0.199","0.59","15","87","144","46","0.23","61","1.0","0.037","0.0","0.13","3.6"
"Soy milk","Soy milk, nonfat, chocolate","11321200","0","2","0","8.24","0","28.4","0.7","0","0","0.512","2.1","61","0.201","1.7","7.13","0.037","88.38","0.037","0.405","0.032","0.64","123","0.199","0.59","15","87","144","46","0.23","61","1.0","0.037","0.0","0.13","3.6"
"Almond milk","Almond milk, sweetened","11350000","0","0","0","5.24","0","3.0","0.2","0","0","0.067","0.38","86","0.01","0.1","4.77","0.0","92.68","0.566","0.23","0.077","0.93","177","0.019","0.27","6","9","64","69","0.06","86","0.0","0.0","0.0","2.7","0.0"
"Almond milk","Almond milk, sweetened, chocolate","11350010","0","0","0","8.34","0","2.9","0.3","0","0","0.071","0.43","83","0.011","0.2","7.72","0.0","89.52","0.561","0.224","0.098","0.95","171","0.03","0.3","7","11","67","67","0.08","83","0.0","0.0","0.0","2.61","0.0"
"Almond milk","Almond milk, unsweetened","11350020","0","0","0","1.31","0","3.1","0.2","0","0","0.07","0.4","90","0.01","0.1","0.81","0.0","96.54","0.59","0.24","0.08","0.96","184","0.02","0.28","6","9","67","72","0.06","90","0.0","0.0","0.0","2.81","0.0"
"Almond milk","Almond milk, unsweetened, chocolate","11350030","0","0","0","1.48","0","3.1","0.3","0","0","0.076","0.46","90","0.011","0.1","0.81","0.0","96.26","0.602","0.241","0.104","1.0","184","0.031","0.32","7","11","71","72","0.08","90","0.0","0.0","0.0","2.8","0.0"
"Rice milk","Rice milk","11360000","0","0","0","9.17","0","2.1","0.3","0","0","0.39","0.28","63","0.142","2.2","5.28","0.027","89.28","0.625","0.313","0.0","0.97","118","0.037","0.2","11","56","27","39","0.13","63","0.63","0.039","0.0","0.47","0.2"
"Coconut milk","Coconut milk","11370000","0","0","0","2.92","0","0.0","0.0","0","0","0.0","0.21","63","0.0","0.0","2.5","0.0","94.57","0.0","0.0","2.083","2.08","188","0.0","0.3","0","0","19","19","0.0","63","0.63","0.0","0.0","0.0","0.0"
"Yogurt","Yogurt, NFS","11400000","0","2","0","7.04","6","15.2","0.0","0","0","0.114","5.25","14","0.214","3.3","7.04","0.044","85.06","0.426","0.044","1.0","1.55","183","0.013","0.08","17","144","234","70","0.89","14","0.56","0.049","0.8","0.03","0.2"
"Yogurt","Yogurt, Greek, NS as to type of milk or flavor","11400010","0","6","0","3.94","10","15.2","0.0","1","0","0.197","9.95","90","0.233","12.4","3.56","0.044","83.56","0.486","0.076","1.23","1.92","115","0.021","0.04","11","137","141","34","0.6","90","0.52","0.055","0.8","0.04","0.2"
"Yogurt","Yogurt, NS as to type of milk or flavor","11410000","0","2","0","7.04","6","15.2","0.0","0","0","0.114","5.25","14","0.214","3.3","7.04","0.044","85.06","0.426","0.044","1.0","1.55","183","0.013","0.08","17","144","234","70","0.89","14","0.56","0.049","0.8","0.03","0.2"
"Yogurt","Yogurt, NS as to type of milk, plain","11411010","0","2","0","7.04","6","15.2","0.0","0","0","0.114","5.25","14","0.214","3.3","7.04","0.044","85.06","0.426","0.044","1.0","1.55","183","0.013","0.08","17","144","234","70","0.89","14","0.56","0.049","0.8","0.03","0.2"
"Yogurt","Yogurt, whole milk, plain","11411100","0","5","0","4.66","13","15.2","0.0","0","0","0.075","3.47","27","0.142","2.2","4.66","0.029","87.89","0.893","0.092","2.096","3.25","121","0.009","0.05","12","95","155","46","0.59","27","0.37","0.032","0.5","0.06","0.2"
"Yogurt","Yogurt, low fat milk, plain","11411200","0","2","0","7.04","6","15.2","0.0","0","0","0.114","5.25","14","0.214","3.3","7.04","0.044","85.06","0.426","0.044","1.0","1.55","183","0.013","0.08","17","144","234","70","0.89","14","0.56","0.049","0.8","0.03","0.2"
"Yogurt","Yogurt, nonfat milk, plain","11411300","0","0","0","7.68","2","15.2","0.0","0","0","0.124","5.73","2","0.234","3.6","7.68","0.048","85.22","0.049","0.005","0.116","0.18","199","0.015","0.09","19","157","255","77","0.97","2","0.61","0.053","0.9","0.0","0.2"
"Yogurt","Yogurt, Greek, NS as to type of milk, plain","11411390","0","6","0","3.94","10","15.2","0.0","1","0","0.197","9.95","90","0.233","12.4","3.56","0.044","83.56","0.486","0.076","1.23","1.92","115","0.021","0.04","11","137","141","34","0.6","90","0.52","0.055","0.8","0.04","0.2"
"Yogurt","Yogurt, Greek, whole milk, plain","11411400","0","7","0","3.98","13","15.1","0.0","0","0","0.208","9.0","1","0.278","9.7","4.0","0.023","81.3","2.136","0.469","2.395","5.0","100","0.017","0.0","11","135","141","35","0.52","2","0.75","0.063","0.0","0.01","0.0"
"Yogurt","Yogurt, Greek, low fat milk, plain","11411410","0","6","0","3.94","10","15.2","0.0","1","0","0.197","9.95","90","0.233","12.4","3.56","0.044","83.56","0.486","0.076","1.23","1.92","115","0.021","0.04","11","137","141","34","0.6","90","0.52","0.055","0.8","0.04","0.2"
"Yogurt","Yogurt, Greek, nonfat milk, plain","11411420","0","0","0","3.64","5","15.1","0.0","0","0","0.211","10.3","1","0.281","9.9","3.27","0.022","85.0","0.043","0.011","0.108","0.37","111","0.017","0.07","11","136","141","36","0.53","1","0.7","0.064","0.0","0.01","0.0"
"Yogurt","Yogurt, NS as to type of milk, fruit","11430000","0","2","0","14.46","5","14.6","0.1","0","0","0.105","4.66","12","0.197","3.1","12.01","0.041","78.51","0.379","0.039","0.881","1.37","163","0.023","0.13","15","129","215","65","0.79","12","0.49","0.046","1.8","0.04","0.2"
"Yogurt","Yogurt, whole milk, fruit","11431000","0","4","0","12.36","11","14.6","0.1","0","0","0.07","3.1","24","0.134","2.2","9.92","0.027","81.0","0.79","0.081","1.845","2.87","109","0.02","0.1","11","86","146","44","0.53","24","0.33","0.031","1.5","0.07","0.2"
"Yogurt","Yogurt, low fat milk, fruit","11432000","0","2","0","14.46","5","14.6","0.1","0","0","0.105","4.66","12","0.197","3.1","12.01","0.041","78.51","0.379","0.039","0.881","1.37","163","0.023","0.13","15","129","215","65","0.79","12","0.49","0.046","1.8","0.04","0.2"
"Yogurt","Yogurt, nonfat milk, fruit","11433000","0","0","0","15.02","2","14.6","0.1","0","0","0.113","5.09","2","0.215","3.4","12.58","0.044","78.65","0.048","0.004","0.103","0.17","177","0.025","0.14","17","140","234","72","0.86","2","0.54","0.049","1.8","0.01","0.2"
"Yogurt","Yogurt, Greek, NS as to type of milk, fruit","11433990","0","7","0","12.29","12","14.0","1.0","7","0","0.205","8.17","30","0.235","9.6","11.23","0.037","76.41","0.65","0.113","1.599","2.57","88","0.019","0.07","10","109","129","33","0.41","31","0.5","0.049","0.7","0.02","0.0"
"Yogurt","Yogurt, Greek, whole milk, fruit","11434000","0","7","0","12.29","10","14.3","0.0","7","0","0.205","7.33","45","0.235","9.6","12.0","0.046","76.81","1.265","0.219","1.599","3.0","100","0.019","0.0","10","109","113","37","0.41","46","0.5","0.049","0.0","0.07","0.3"
"Yogurt","Yogurt, Greek, low fat milk, fruit","11434010","0","7","0","12.29","12","14.0","1.0","7","0","0.205","8.17","30","0.235","9.6","11.23","0.037","76.41","0.65","0.113","1.599","2.57","88","0.019","0.07","10","109","129","33","0.41","31","0.5","0.049","0.7","0.02","0.0"
"Yogurt","Yogurt, Greek, nonfat milk, fruit","11434020","0","2","0","12.2","4","14.0","0.6","4","0","0.208","8.06","0","0.25","9.8","11.5","0.037","79.0","0.029","0.021","0.103","0.15","97","0.02","0.09","10","113","133","32","0.46","0","0.45","0.05","0.2","0.02","0.0"
"Yogurt","Yogurt, NS as to type of milk, flavors other than fruit","11434090","0","2","0","9.82","6","14.7","0.0","0","0","0.111","5.09","14","0.208","3.2","9.82","0.043","82.51","0.413","0.043","0.97","1.51","178","0.013","0.08","16","140","227","68","0.86","14","0.54","0.048","0.8","0.03","0.2"
"Yogurt","Yogurt, whole milk, flavors other than fruit","11434100","0","5","0","9.41","12","14.4","0.0","0","0","0.071","3.3","26","0.136","2.1","9.42","0.028","83.5","0.848","0.087","1.991","3.1","115","0.009","0.05","11","90","147","44","0.56","26","0.35","0.03","0.5","0.06","0.2"
"Yogurt","Yogurt, low fat milk, flavors other than fruit","11434200","0","2","0","9.82","6","14.7","0.0","0","0","0.111","5.09","14","0.208","3.2","9.82","0.043","82.51","0.413","0.043","0.97","1.51","178","0.013","0.08","16","140","227","68","0.86","14","0.54","0.048","0.8","0.03","0.2"
"Yogurt","Yogurt, nonfat milk, flavors other than fruit","11434300","0","0","0","10.44","2","14.7","0.0","0","0","0.12","5.56","2","0.228","3.5","10.44","0.047","82.66","0.048","0.005","0.113","0.18","193","0.015","0.09","18","152","247","75","0.94","2","0.59","0.051","0.9","0.0","0.2"
"Yogurt","Yogurt, Greek, NS as to type of milk, flavors other than fruit","11435000","0","3","0","9.54","5","33.4","0.0","0","0","0.201","8.64","110","0.24","9.7","9.54","0.038","78.76","0.846","0.203","1.465","2.5","100","0.018","0.04","10","119","123","40","0.46","110","0.64","0.05","0.0","0.02","0.2"
"Yogurt","Yogurt, Greek, whole milk, flavors other than fruit","11435010","0","7","0","9.35","10","33.2","0.0","0","0","0.197","8.47","124","0.235","9.5","9.35","0.037","77.19","1.404","0.273","2.674","4.44","98","0.018","0.04","10","117","121","39","0.45","125","0.63","0.049","0.0","0.08","0.4"
"Yogurt","Yogurt, Greek, low fat milk, flavors other than fruit","11435020","0","3","0","9.54","5","33.4","0.0","0","0","0.201","8.64","110","0.24","9.7","9.54","0.038","78.76","0.846","0.203","1.465","2.5","100","0.018","0.04","10","119","123","40","0.46","110","0.64","0.05","0.0","0.02","0.2"
"Yogurt","Yogurt, Greek, nonfat milk, flavors other than fruit","11435030","0","0","0","10.37","3","15.2","0.5","0","0","0.201","8.64","0","0.24","9.7","9.54","0.042","80.26","0.039","0.009","0.133","0.18","99","0.018","0.04","10","119","123","34","0.46","0","0.64","0.05","0.0","0.02","0.1"
"Yogurt","Yogurt, Greek, with oats","11435100","0","3","0","22.38","4","31.8","1.9","31","0","0.511","8.9","88","0.23","10.2","12.07","0.094","63.61","1.629","0.915","1.478","4.29","96","0.063","0.64","27","165","184","53","0.75","88","0.53","0.077","0.1","0.24","2.3"
"Yogurt","Yogurt, liquid","11436000","0","1","0","11.81","4","11.7","0.1","0","0","0.083","3.71","10","0.157","2.5","9.78","0.032","82.57","0.302","0.031","0.701","1.09","131","0.021","0.1","12","103","171","53","0.63","10","0.39","0.036","1.4","0.03","0.1"
"Chipotle dip","Chipotle dip, yogurt based","11440010","1","16","2","3.33","16","18.6","0.0","17","0","0.177","7.93","73","0.186","10.1","2.97","0.037","70.61","3.638","8.716","3.219","15.99","92","0.022","0.09","9","111","119","636","0.5","74","0.43","0.054","3.4","0.68","32.0"
"Dill dip","Dill dip, yogurt based","11440020","0","17","1","3.76","16","19.4","0.3","27","0","0.25","8.16","73","0.207","10.2","2.99","0.038","69.81","3.645","8.742","3.232","16.03","103","0.028","0.29","13","115","141","641","0.55","74","0.43","0.054","1.9","0.75","44.9"
"Onion dip","Onion dip, yogurt based","11440030","0","5","1","4.07","14","17.7","0.2","3","0","0.147","6.82","66","0.168","8.2","3.38","0.041","74.42","2.928","6.865","2.713","12.88","93","0.019","0.08","10","105","126","507","0.47","66","0.42","0.054","1.1","0.53","25.0"
"Ranch dip","Ranch dip, yogurt based","11440040","0","17","1","4.13","17","20.5","0.3","27","0","0.257","8.48","73","0.222","10.4","3.41","0.042","69.0","3.661","8.744","3.267","16.09","114","0.029","0.29","14","123","154","646","0.58","74","0.46","0.056","1.9","0.75","44.9"
"Spinach dip","Spinach dip, yogurt based","11440050","0","556","1","3.6","14","19.1","0.3","1197","0","0.17","7.02","66","0.179","8.6","3.04","0.043","74.55","2.927","6.892","2.721","12.94","103","0.028","0.21","15","106","136","514","0.49","112","0.42","0.054","0.7","0.8","66.2"
"Tzatziki dip","Tzatziki dip","11440060","4","21","10","3.95","7","11.0","0.2","9","0","0.16","5.35","1","0.169","5.7","2.92","0.025","83.08","3.724","0.641","1.838","6.31","64","0.027","0.14","11","86","139","307","0.38","3","0.42","0.06","2.0","0.52","8.2"
"Vegetable dip","Vegetable dip, yogurt based","11440070","0","17","1","3.76","16","19.4","0.3","27","0","0.25","8.16","73","0.207","10.2","2.99","0.038","69.81","3.645","8.742","3.232","16.03","103","0.028","0.29","13","115","141","641","0.55","74","0.43","0.054","1.9","0.75","44.9"
"Yogurt parfait","Yogurt parfait, low fat, with fruit","11446000","0","12","0","15.86","3","11.9","1.1","12","0","0.714","3.36","29","0.173","3.9","11.68","0.07","78.97","0.307","0.122","0.525","1.01","105","0.054","0.49","17","93","189","49","0.89","30","0.88","0.233","14.3","0.25","1.7"
"Frozen yogurt","Frozen yogurt, NFS","11459990","0","9","0","21.6","13","23.1","0.0","0","0","0.07","3.0","48","0.18","1.9","19.92","0.04","71.2","0.986","0.1","2.326","3.6","100","0.009","0.46","10","89","156","63","0.28","49","0.07","0.04","0.7","0.09","0.3"
"Frozen yogurt","Frozen yogurt, vanilla","11460000","0","9","0","21.6","13","23.1","0.0","0","0","0.07","3.0","48","0.18","1.9","19.92","0.04","71.2","0.986","0.1","2.326","3.6","100","0.009","0.46","10","89","156","63","0.28","49","0.07","0.04","0.7","0.09","0.3"
"Frozen yogurt","Frozen yogurt, chocolate","11460100","0","9","0","21.6","13","14.1","2.3","0","0","0.14","3.0","38","0.18","1.9","19.24","0.04","71.2","0.961","0.102","2.272","3.6","100","0.054","0.46","25","89","234","63","0.28","39","0.07","0.04","0.0","0.09","0.3"
"Frozen yogurt","Frozen yogurt, soft serve, vanilla","11460500","0","11","0","24.2","2","20.2","0.0","0","0","0.287","4.0","58","0.224","3.3","24.0","0.037","65.3","1.59","0.21","3.42","5.6","143","0.04","0.3","14","129","211","87","0.42","59","0.29","0.08","0.8","0.11","0.3"
"Frozen yogurt","Frozen yogurt, soft serve, chocolate","11460510","0","11","0","24.87","2","20.0","0.7","1","0","0.325","4.31","57","0.224","3.5","23.56","0.038","64.05","1.65","0.215","3.513","5.76","143","0.115","0.57","24","141","237","86","0.55","58","0.28","0.081","0.8","0.11","0.3"
"Frozen yogurt sandwich","Frozen yogurt sandwich","11461200","0","7","0","34.38","10","20.9","0.8","3","0","0.767","3.9","37","0.202","2.8","24.3","0.081","54.52","1.956","1.113","2.805","6.25","83","0.123","1.35","21","100","170","192","0.48","38","0.08","0.043","0.5","0.25","0.8"
"Frozen yogurt bar","Frozen yogurt bar, vanilla","11461210","0","9","0","21.6","13","23.1","0.0","0","0","0.07","3.0","48","0.18","1.9","19.92","0.04","71.2","0.986","0.1","2.326","3.6","100","0.009","0.46","10","89","156","63","0.28","49","0.07","0.04","0.7","0.09","0.3"
"Frozen yogurt bar","Frozen yogurt bar, chocolate","11461220","0","9","0","21.6","13","14.1","2.3","0","0","0.14","3.0","38","0.18","1.9","19.24","0.04","71.2","0.961","0.102","2.272","3.6","100","0.054","0.46","25","89","234","63","0.28","39","0.07","0.04","0.0","0.09","0.3"
"Frozen yogurt cone","Frozen yogurt cone, chocolate","11461250","0","9","0","23.9","12","13.9","2.3","1","0","0.311","3.2","36","0.187","2.0","18.71","0.048","68.56","0.996","0.228","2.23","3.73","97","0.06","0.59","25","89","229","71","0.3","37","0.07","0.04","0.0","0.12","0.4"
"Frozen yogurt cone","Frozen yogurt cone, vanilla","11461260","0","9","0","23.9","12","22.6","0.1","1","0","0.244","3.2","46","0.187","2.0","19.36","0.048","68.56","1.02","0.227","2.282","3.73","97","0.017","0.59","11","89","154","71","0.3","47","0.07","0.04","0.7","0.12","0.4"
